îNåéì˙éû,ç~êÖó (mm)
2018/1/2 1:00,0
2018/1/2 2:00,0
2018/1/2 3:00,0
2018/1/2 4:00,0
2018/1/2 5:00,0
2018/1/2 6:00,0
2018/1/2 7:00,0
2018/1/2 8:00,0
2018/1/2 9:00,0
2018/1/2 10:00,0
2018/1/2 11:00,0
2018/1/2 12:00,0
2018/1/2 13:00,0
2018/1/2 14:00,0
2018/1/2 15:00,0
2018/1/2 16:00,0
2018/1/2 17:00,0
2018/1/2 18:00,0
2018/1/2 19:00,0
2018/1/2 20:00,0
2018/1/2 21:00,0
2018/1/2 22:00,0
2018/1/2 23:00,0
2018/1/3 0:00,0
2018/1/3 1:00,0
2018/1/3 2:00,0
2018/1/3 3:00,0
2018/1/3 4:00,0
2018/1/3 5:00,0
2018/1/3 6:00,0
2018/1/3 7:00,0
2018/1/3 8:00,0
2018/1/3 9:00,0
2018/1/3 10:00,0
2018/1/3 11:00,0
2018/1/3 12:00,0
2018/1/3 13:00,0
2018/1/3 14:00,0
2018/1/3 15:00,0
2018/1/3 16:00,0
2018/1/3 17:00,0
2018/1/3 18:00,0
2018/1/3 19:00,0
2018/1/3 20:00,0
2018/1/3 21:00,0
2018/1/3 22:00,0
2018/1/3 23:00,0
2018/1/4 0:00,0
2018/1/4 1:00,0
2018/1/4 2:00,0
2018/1/4 3:00,0
2018/1/4 4:00,0
2018/1/4 5:00,0
2018/1/4 6:00,0
2018/1/4 7:00,0
2018/1/4 8:00,0
2018/1/4 9:00,0
2018/1/4 10:00,0
2018/1/4 11:00,0
2018/1/4 12:00,0
2018/1/4 13:00,0
2018/1/4 14:00,0
2018/1/4 15:00,0
2018/1/4 16:00,0
2018/1/4 17:00,0
2018/1/4 18:00,0
2018/1/4 19:00,0
2018/1/4 20:00,0
2018/1/4 21:00,0
2018/1/4 22:00,0
2018/1/4 23:00,0
2018/1/5 0:00,0
2018/1/5 1:00,0
2018/1/5 2:00,0
2018/1/5 3:00,0
2018/1/5 4:00,0
2018/1/5 5:00,0
2018/1/5 6:00,0
2018/1/5 7:00,0
2018/1/5 8:00,0
2018/1/5 9:00,0
2018/1/5 10:00,0
2018/1/5 11:00,0
2018/1/5 12:00,0
2018/1/5 13:00,0
2018/1/5 14:00,0
2018/1/5 15:00,0
2018/1/5 16:00,0
2018/1/5 17:00,0
2018/1/5 18:00,0
2018/1/5 19:00,0
2018/1/5 20:00,0
2018/1/5 21:00,0
2018/1/5 22:00,0
2018/1/5 23:00,0
2018/1/6 0:00,0
2018/1/6 1:00,0
2018/1/6 2:00,0
2018/1/6 3:00,0
2018/1/6 4:00,0
2018/1/6 5:00,0
2018/1/6 6:00,0
2018/1/6 7:00,0
2018/1/6 8:00,0
2018/1/6 9:00,0
2018/1/6 10:00,0
2018/1/6 11:00,0
2018/1/6 12:00,0
2018/1/6 13:00,0
2018/1/6 14:00,0
2018/1/6 15:00,0
2018/1/6 16:00,0
2018/1/6 17:00,0
2018/1/6 18:00,0
2018/1/6 19:00,0
2018/1/6 20:00,0
2018/1/6 21:00,0
2018/1/6 22:00,0
2018/1/6 23:00,0
2018/1/7 0:00,0
2018/1/7 1:00,0
2018/1/7 2:00,0
2018/1/7 3:00,0
2018/1/7 4:00,0
2018/1/7 5:00,0
2018/1/7 6:00,0
2018/1/7 7:00,0
2018/1/7 8:00,0
2018/1/7 9:00,0
2018/1/7 10:00,0
2018/1/7 11:00,0
2018/1/7 12:00,0
2018/1/7 13:00,0
2018/1/7 14:00,0
2018/1/7 15:00,0
2018/1/7 16:00,0
2018/1/7 17:00,0
2018/1/7 18:00,0
2018/1/7 19:00,0
2018/1/7 20:00,0
2018/1/7 21:00,0
2018/1/7 22:00,0
2018/1/7 23:00,0
2018/1/8 0:00,0
2018/1/8 1:00,0
2018/1/8 2:00,0
2018/1/8 3:00,0
2018/1/8 4:00,1
2018/1/8 5:00,1.5
2018/1/8 6:00,3.5
2018/1/8 7:00,2.5
2018/1/8 8:00,1
2018/1/8 9:00,1
2018/1/8 10:00,3
2018/1/8 11:00,2.5
2018/1/8 12:00,0
2018/1/8 13:00,0
2018/1/8 14:00,0.5
2018/1/8 15:00,0.5
2018/1/8 16:00,0.5
2018/1/8 17:00,0
2018/1/8 18:00,1.5
2018/1/8 19:00,1
2018/1/8 20:00,1.5
2018/1/8 21:00,0.5
2018/1/8 22:00,0.5
2018/1/8 23:00,0.5
2018/1/9 0:00,0.5
2018/1/9 1:00,0
2018/1/9 2:00,0
2018/1/9 3:00,0
2018/1/9 4:00,0
2018/1/9 5:00,0
2018/1/9 6:00,0
2018/1/9 7:00,0
2018/1/9 8:00,0
2018/1/9 9:00,0
2018/1/9 10:00,0
2018/1/9 11:00,0
2018/1/9 12:00,0
2018/1/9 13:00,0
2018/1/9 14:00,0
2018/1/9 15:00,0
2018/1/9 16:00,0
2018/1/9 17:00,0
2018/1/9 18:00,0
2018/1/9 19:00,0
2018/1/9 20:00,0
2018/1/9 21:00,0
2018/1/9 22:00,0
2018/1/9 23:00,0
2018/1/10 0:00,0
2018/1/10 1:00,0
